weight,head,Gender,Marital,schooling,Last_certificate,Population_sector,Age_group,Employed,Hourly_wage,branch,Monthly_hours
122,1,Female,Married,10,Up to secondary,Non-orthodox Jews,55-59,1,52.23165512,B,194.8499791
122,0,Male,Married,10,Up to secondary,Non-orthodox Jews,55-59,0,NA,NA,NA
122,0,Male,Single,12,Matriculation,Non-orthodox Jews,18-24,1,5.712028503,O,173.2000048
247,1,Male,Married,11,Up to secondary,Non-orthodox Jews,35-44,1,27.06718445,G,259.7999701
247,0,Female,Married,8,Up to secondary,Non-orthodox Jews,35-44,1,24.16851425,G,207.8399831
141,1,Male,Married,14,Post-secondary not academic,Non-orthodox Jews,65+,0,NA,G,NA
141,0,Female,Married,12,Up to secondary,Non-orthodox Jews,65+,1,43.76673889,M,121.2399971
593,0,Female,Married,14,BA,Non-orthodox Jews,55-59,1,28.58728981,J,194.8499992
593,0,Male,Single,14,Matriculation,Non-orthodox Jews,25-29,0,NA,NA,NA
593,1,Male,Married,16,MA+,Non-orthodox Jews,60-64,1,31.47335625,Q,207.8399845
593,0,Female,Married,17,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
593,0,Male,Married,17,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
324,1,Male,Separated,12,Matriculation,Non-orthodox Jews,55-59,1,24.79866028,H,207.8399906
155,1,Male,Married,12,Up to secondary,Non-orthodox Jews,35-44,0,NA,J,NA
155,0,Female,Married,12,Matriculation,Non-orthodox Jews,35-44,1,56.23392868,F,181.8599979
133,0,Female,Married,16,MA+,Non-orthodox Jews,60-64,0,NA,NA,NA
133,1,Male,Married,20,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
161,0,Male,Married,25,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
161,1,Female,Married,13,BA,Non-orthodox Jews,65+,0,NA,NA,NA
252,0,Male,Married,16,MA+,Non-orthodox Jews,65+,0,NA,NA,NA
252,1,Female,Married,15,BA,Non-orthodox Jews,65+,0,NA,NA,NA
279,1,Male,Married,16,BA,Non-orthodox Jews,65+,0,NA,NA,NA
279,0,Female,Married,15,BA,Non-orthodox Jews,65+,0,NA,NA,NA
253,1,Female,Widowed,15,BA,Non-orthodox Jews,65+,0,NA,NA,NA
203,0,Male,Married,18,Post-secondary not academic,Non-orthodox Jews,35-44,1,34.62892914,N,181.8600039
203,1,Female,Married,14,Post-secondary not academic,Non-orthodox Jews,30-34,1,32.67063141,G,207.8400039
183,1,Female,Single,14,Matriculation,Non-orthodox Jews,18-24,1,54.32825851,S,34.63999837
183,0,Female,Single,13,Matriculation,Non-orthodox Jews,18-24,0,NA,NA,NA
183,0,Female,Single,14,Matriculation,Non-orthodox Jews,18-24,0,NA,NA,NA
377,1,Male,Single,15,Up to secondary,Arabs,25-29,1,44.7451973,B,69.27999446
377,0,Male,Single,15,Up to secondary,Arabs,18-24,0,NA,NA,NA
209,1,Female,Single,14,Matriculation,Non-orthodox Jews,18-24,1,39.65504456,P,53.24999953
